Web Search Interest: obama
United States; Oct-Nov 2012

Interest over time
Day,obama
vote,15
michelle obama,15
obama win,10
obama poll,10
2012 election,10
obama news,10
news,10
obama care,10
polls obama romney,10
romney obama poll,10
obama wins,5
obama campaign,5
obama video,5
obama phone,5
trump obama,5
trump,5
obama 2016,5
obama or romney,5
obama biden,5
vote for obama,5
obama won,5
obama 2008,5
election results,5
cnn,5
obama plan,5
obama florida,5
obama speech 2012,5
presidential debate,5
did obama win,5
obama pictures,5
twitter obama,5
joe biden,5
presidential election,5



Rising searches for obama
debate,+850%
obama debate,+850%
debate romney obama,+750%
election,+300%
obama election,+300%
vote obama,+120%
obama and romney,+110%
vote,+110%
romney vs obama,+90%
romney obama,+80%



