Web Search Interest: romney
United States; Oct-Nov 2012

Interest over time
Day,romney
obama 2012,10
romney obama polls,10
poll romney obama,5
obama polls,5
romney speech,5
ann romney,5
romney news,5
mitt romney 2012,5
romney or obama,5
election 2012,5
romney plan,5
romney ohio,5
romney style,5
romney concession,5
romney campaign,5
paul ryan,5
governor romney,5
presidential debate,5
romney concession speech,5
big bird,5
big bird romney,5
mitt romney debate,5
president obama,5
republican,5
mitt romney style,5
cnn,5
will romney win,5
election results,5
romney for president,5
tagg romney,5
romney winning,5



Rising searches for romney
romney debate,+900%
debate,+800%
debate obama romney,+800%
obama debate,+750%
election,+250%
obama and romney,+120%
romney vs obama,+90%
barack obama,+80%
obama romney,+80%
obama,+70%



